t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0277,46.4955993,50,0.358236637,-0.259809347,0
0.0278,46.566316,50,0.358236637,-0.259809347,0
0.0279,46.6370313,50,0.358236637,-0.259809347,0
0.028,46.7077452,50,0.358236637,-0.259809347,0
0.0281,46.7719413,50,0.325654442,-0.241754832,0
0.0282,46.8361361,50,0.325654442,-0.241754832,0
0.0283,46.9003296,50,0.325654442,-0.241754832,0
0.0284,46.9645219,50,0.325654442,-0.241754832,0
0.0285,47.0287128,50,0.325654442,-0.241754832,0
0.0286,47.0929025,50,0.325654442,-0.241754832,0
0.0287,47.1570909,50,0.325654442,-0.241754832,0
0.0288,47.221278,50,0.325654442,-0.241754832,0
0.0289,47.2854638,50,0.325654442,-0.241754832,0
0.029,47.3496484,50,0.325654442,-0.241754832,0
0.0291,47.4076532,50,0.294761864,-0.224168407,0
0.0292,47.4656568,50,0.294761864,-0.224168407,0
0.0293,47.5236593,50,0.294761864,-0.224168407,0
0.0294,47.5816606,50,0.294761864,-0.224168407,0
0.0295,47.6396608,50,0.294761864,-0.224168407,0
0.0296,47.6976598,50,0.294761864,-0.224168407,0
0.0297,47.7556576,50,0.294761864,-0.224168407,0
0.0298,47.8136543,50,0.294761864,-0.224168407,0
0.0299,47.8716498,50,0.294761864,-0.224168407,0
0.03,47.9296442,50,0.294761864,-0.224168407,0
0.0301,47.9818002,50,0.265575524,-0.207120657,0
0.0302,48.0339551,50,0.265575524,-0.207120657,0
0.0303,48.086109,50,0.265575524,-0.207120657,0
0.0304,48.1382619,50,0.265575524,-0.207120657,0
0.0305,48.1904137,50,0.265575524,-0.207120657,0
0.0306,48.2425645,50,0.265575524,-0.207120657,0
0.0307,48.2947142,50,0.265575524,-0.207120657,0
0.0308,48.3468629,50,0.265575524,-0.207120657,0
0.0309,48.3990105,50,0.265575524,-0.207120657,0
0.031,48.4511571,50,0.265575524,-0.207120657,0
0.0311,48.4978071,50,0.238097514,-0.19066949,0
0.0312,48.5444562,50,0.238097514,-0.19066949,0
0.0313,48.5911044,50,0.238097514,-0.19066949,0
0.0314,48.6377516,50,0.238097514,-0.19066949,0
0.0315,48.6843979,50,0.238097514,-0.19066949,0
0.0316,48.7310432,50,0.238097514,-0.19066949,0
0.0317,48.7776876,50,0.238097514,-0.19066949,0
0.0318,48.8243311,50,0.238097514,-0.19066949,0
0.0319,48.8709737,50,0.238097514,-0.19066949,0
0.032,48.9176153,50,0.238097514,-0.19066949,0
0.0321,48.9590999,50,0.212317184,-0.174861287,0
0.0322,49.0005838,50,0.212317184,-0.174861287,0
0.0323,49.0420668,50,0.212317184,-0.174861287,0
0.0324,49.083549,50,0.212317184,-0.174861287,0
0.0325,49.1250303,50,0.212317184,-0.174861287,0
0.0326,49.1665109,50,0.212317184,-0.174861287,0
0.0327,49.2079905,50,0.212317184,-0.174861287,0
0.0328,49.2494694,50,0.212317184,-0.174861287,0
0.0329,49.2909474,50,0.212317184,-0.174861287,0
0.033,49.3324246,50,0.212317184,-0.174861287,0
0.0331,49.3690802,50,0.188212794,-0.159731989,0
0.0332,49.405735,50,0.188212794,-0.159731989,0
0.0333,49.4423891,50,0.188212794,-0.159731989,0
0.0334,49.4790424,50,0.188212794,-0.159731989,0
0.0335,49.515695,50,0.188212794,-0.159731989,0
0.0336,49.5523469,50,0.188212794,-0.159731989,0
0.0337,49.5889981,50,0.188212794,-0.159731989,0
0.0338,49.6256485,50,0.188212794,-0.159731989,0
0.0339,49.6622981,50,0.188212794,-0.159731989,0
0.034,49.6989471,50,0.188212794,-0.159731989,0
0.0341,49.7311034,50,0.165753047,-0.145308125,0
0.0342,49.7632591,50,0.165753047,-0.145308125,0
0.0343,49.7954141,50,0.165753047,-0.145308125,0
0.0344,49.8275685,50,0.165753047,-0.145308125,0
0.0345,49.8597222,50,0.165753047,-0.145308125,0
0.0346,49.8918753,50,0.165753047,-0.145308125,0
0.0347,49.9240277,50,0.165753047,-0.145308125,0
0.0348,49.9561796,50,0.165753047,-0.145308125,0
0.0349,49.9883307,50,0.165753047,-0.145308125,0
0.035,50.0204812,50,0.165753047,-0.145308125,0
0.0351,50.0484603,50,0.1448985,-0.131607787,0
0.0352,50.0764387,50,0.1448985,-0.131607787,0
0.0353,50.1044166,50,0.1448985,-0.131607787,0
0.0354,50.1323939,50,0.1448985,-0.131607787,0
0.0355,50.1603707,50,0.1448985,-0.131607787,0
0.0356,50.1883469,50,0.1448985,-0.131607787,0
0.0357,50.2163226,50,0.1448985,-0.131607787,0
0.0358,50.2442977,50,0.1448985,-0.131607787,0
0.0359,50.2722722,50,0.1448985,-0.131607787,0
0.036,50.3002462,50,0.1448985,-0.131607787,0
0.0361,50.3243605,50,0.125602863,-0.118641537,0
0.0362,50.3484743,50,0.125602863,-0.118641537,0
0.0363,50.3725877,50,0.125602863,-0.118641537,0
0.0364,50.3967006,50,0.125602863,-0.118641537,0
0.0365,50.420813,50,0.125602863,-0.118641537,0
0.0366,50.4449249,50,0.125602863,-0.118641537,0
0.0367,50.4690363,50,0.125602863,-0.118641537,0
0.0368,50.4931473,50,0.125602863,-0.118641537,0
